longitude,latitude,index,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,LAI
-72.17145841,42.53783382,0,0.0198,0.0532,0.0169,0.0982,0.3507,0.4087,0.4433,0.4232,0.1646,0.0673,4.03
-72.17145841,42.53783382,1,0.0236,0.0405,0.0193,0.0782,0.3244,0.4116,0.4295,0.449,0.1786,0.0718,4.82
-72.17145841,42.53783382,2,0.0197,0.0203,0.0126,0.0247,0.0888,0.1154,0.0948,0.1156,0.0293,0.0117,3.871
-72.17145841,42.53783382,3,0.0176,0.0422,0.0188,0.0757,0.3112,0.3827,0.398,0.3963,0.167,0.0656,4.22
-72.17145841,42.53783382,4,0.0204,0.0405,0.0182,0.0711,0.2746,0.345,0.371,0.3663,0.158,0.0626,4.281
-72.17145841,42.53783382,5,0.0175,0.0373,0.0204,0.0792,0.2388,0.3075,0.3078,0.3358,0.1523,0.0618,3.51
-72.17145841,42.53783382,6,0.0132,0.0386,0.0201,0.0812,0.239,0.287,0.2995,0.3081,0.1444,0.0596,4.86
-72.17145841,42.53783382,7,0.0322,0.0474,0.0284,0.0843,0.3058,0.3786,0.3803,0.4062,0.1778,0.0736,4.733
-72.17145841,42.53783382,8,0.0282,0.0475,0.0224,0.0802,0.3345,0.4433,0.4428,0.4636,0.1922,0.0739,4.31
-72.17145841,42.53783382,9,0.0185,0.0373,0.0185,0.0662,0.2751,0.3446,0.373,0.3784,0.1631,0.066,4.348
-72.17145841,42.53783382,10,0.0195,0.0356,0.0171,0.0676,0.2672,0.3491,0.3602,0.3568,0.1601,0.0641,4.56
-72.17145841,42.53783382,11,0.0182,0.0387,0.0173,0.0706,0.2579,0.3184,0.3406,0.3399,0.1519,0.0627,4.051
-72.17145841,42.53783382,12,0.0085,0.0417,0.0254,0.1093,0.2403,0.2772,0.2777,0.303,0.1433,0.0602,4.485
-72.17145841,42.53783382,13,0.0546,0.0752,0.0896,0.117,0.1803,0.2044,0.2162,0.2328,0.2053,0.1271,2.85
-72.17145841,42.53783382,14,0.071,0.0608,0.0296,0.0462,0.1246,0.1394,0.2132,0.1428,0.0591,0.0228,3.26
-72.17145841,42.53783382,15,0.0268,0.0555,0.0253,0.0962,0.3369,0.4076,0.4184,0.4307,0.1799,0.075,4.6
-72.17145841,42.53783382,16,0.0184,0.0415,0.0192,0.0744,0.2815,0.3392,0.3647,0.3772,0.1634,0.066,3.86
-72.17145841,42.53783382,17,0.0331,0.0467,0.0262,0.0699,0.2407,0.2947,0.2787,0.3175,0.1607,0.067,4.027
-72.17145841,42.53783382,18,0.0198,0.042,0.0201,0.072,0.2653,0.3028,0.2952,0.3346,0.1621,0.0673,4.544
-72.17145841,42.53783382,19,0.0152,0.02,0.0122,0.0322,0.0896,0.1093,0.0991,0.1214,0.0607,0.029,3.591
-72.17145841,42.53783382,20,0.0615,0.0829,0.0725,0.1675,0.2896,0.3432,0.3392,0.3853,0.2407,0.1402,3.437
-72.17145841,42.53783382,21,0.0471,0.0596,0.0787,0.1205,0.1851,0.2062,0.229,0.2369,0.2424,0.1532,2.704417331
-72.17145841,42.53783382,22,0.0596,0.0785,0.0849,0.1371,0.2177,0.243,0.26,0.2859,0.2663,0.1641,2.651194677
-72.17145841,42.53783382,23,0.0237,0.0512,0.0224,0.1013,0.3708,0.4433,0.4179,0.4598,0.178,0.0731,4.174592103
-72.17145841,42.53783382,24,0.0184,0.0472,0.017,0.0844,0.3582,0.4392,0.4131,0.453,0.1769,0.067,4.326667437
-72.17145841,42.53783382,25,0.0309,0.058,0.0259,0.0946,0.3827,0.483,0.4576,0.5032,0.1952,0.0784,4.353481183
